,Date time,Volume (MV),Light_Level (Ohms),Temperature-DHT (Celsius),Pressure (Hectopascal),Temperature-BMP (Celsius),Relative_Humidity (%),Carbon_Monoxide (Ohms),Nitrogen_Dioxide (Ohms),Air_Quality (Ohms),AirQuality_Predicted_LR (ohms),AirQuality_Predicted_RF (ohms),AirQuality_Predicted_XGboost (ohms)
0,2016-11-27 17:22:45,133.0645161,5064.140045,24.05,1024.434757,24.13,37.7800005,283808.1869,14849.596309999999,40776.515230000005,37262.373232091224,36750.97613227518,37908.87890625
1,2016-11-27 17:27:45,96.93548387,5075.234700999999,24.524999899999997,1024.494539,24.52,36.87999973,286562.2566,15359.88699,40661.05341,40363.77396080806,40835.08690253473,41261.96875
2,2016-11-27 17:32:46,97.90322581,5074.103939,25.04500017,1024.583963,24.895,35.70500011,293985.7963,15772.13696,40666.63465,40140.07467587374,42580.97098532762,42907.81640625
3,2016-11-27 17:37:46,105.64516129999998,5086.325929,25.33499947,1024.633698,25.08,34.80999966,298587.8165,16150.727019999998,40574.7269,46297.10040074104,45421.98871429866,45316.43359375
4,2016-11-27 17:42:46,130.80645159999997,5086.339059,26.749999900000002,1024.743719,25.25,34.43500042,299600.9932,16506.56816,40546.07795,40030.05913060374,41007.65580397866,40661.71875
5,2016-11-27 17:47:46,132.7419355,4870789.895,26.75999994,1024.816061,25.325,34.34000015,301329.4598,16865.118730000002,40353.53784,37892.90763526183,36114.796848143786,36114.18359375
6,2016-11-27 17:52:47,97.74193548,5105000.0,25.75499983,1024.902972,25.45,33.81500034,288121.4705,16942.36217,39591.98782,42426.53564647664,41273.742255012454,40545.77734375
7,2016-11-27 17:57:47,95.32258065,7918250.0,26.16500025,1024.965267,25.625,32.99000034,292264.8016,17085.103909999998,39265.50288,36071.60058966384,35371.881504650795,34610.1171875
8,2016-11-27 18:02:47,95.64516129,10220000.0,26.31499929,1024.997922,25.725,32.46500015,291173.9092,17240.13454,39204.783460000006,39585.88683400504,39793.83333978099,40394.91015625
9,2016-11-27 18:07:47,91.29032258,10220000.0,26.31499929,1025.017012,25.81,32.26000023,290014.9343,17374.99968,39249.18073,47515.51374562076,42151.00774108426,42039.84765625
10,2016-11-27 18:12:48,94.03225806,10220000.0,26.40999966,1025.0978949999999,25.85,32.05999975,283279.1778,17459.4504,38541.91845,38245.855594969704,39105.47947245634,39296.50390625
11,2016-11-27 18:17:48,98.87096774,10220000.0,26.48499994,1025.169233,25.895,31.705000399999996,287946.2142,17544.47439,39177.21463,39967.180475103,40668.12569942101,40516.84375
12,2016-11-27 18:22:48,97.25806452,10220000.0,26.57000017,1025.254637,25.785,31.4500001,286214.6993,17637.51034,38667.48325,40097.925121107924,31770.914849200453,32075.66015625
13,2016-11-27 18:27:49,91.77419355,7918250.0,26.79999924,1025.320448,25.665,30.76000023,285318.3345,17682.36651,38152.95135,39542.50267862395,41588.43453584909,41564.984375
14,2016-11-27 18:32:49,94.35483871,7406750.0,26.86499949,1025.430469,25.585,30.51000004,284712.9395,17742.43155,38115.36945,43374.47557358441,41600.429630989674,41064.15625
15,2016-11-27 18:37:49,94.35483871,10220000.0,26.95999985,1025.531949,25.555,30.57999983,284212.7572,17776.41444,37982.82676,36183.90323683707,36071.667726990796,35360.95703125
16,2016-11-27 18:42:49,93.70967742,10220000.0,27.01000004,1025.597761,25.615,30.58000031,285307.5934,17817.84963,37993.32321,38609.54588825675,39368.87905293469,39269.19921875
17,2016-11-27 18:47:50,98.38709677,10220000.0,26.94499979,1025.7218480000001,25.525,30.28500023,287442.9526,17905.123509999998,38660.18286,41014.26151840534,40348.584186596854,39693.234375
18,2016-11-27 18:52:50,99.67741935,10220000.0,27.06000023,1025.805242,25.36,30.35999966,288181.9993,18000.61597,38333.240710000005,36837.01029995002,34827.82637601273,34828.01953125
19,2016-11-27 18:57:50,92.74193548,10220000.0,26.98499994,1025.882609,25.25,30.17500019,288457.5661,18069.76739,38429.72435,36131.413346490095,42117.64862528906,41778.51953125
20,2016-11-27 19:02:50,94.35483871,10220000.0,26.96999989,1025.976553,25.28,30.14000006,287428.2991,18088.99594,38456.38186,36688.44934267271,36595.087290446645,36636.7890625
21,2016-11-27 19:07:51,93.70967742,10220000.0,27.00500002,1026.074014,25.23,30.04500017,287661.3755,18100.54569,38402.4966,34393.03033174598,33957.9527469357,34543.83203125
22,2016-11-27 19:12:51,93.22580645,10220000.0,27.01500006,1026.146859,25.155,29.9749999,287618.0937,18127.7074,38677.61251,40069.000561991736,40797.9304700362,40104.03515625
23,2016-11-27 19:17:51,91.93548387,7665504.821,27.04000015,1026.194585,25.305,29.95999985,273750.6736,18001.85125,38552.44652,40018.805045334506,40269.844529444046,40523.91015625
24,2016-11-27 19:22:51,149.83870969999998,10220000.0,26.78999939,1026.304103,25.665,29.79499979,276657.96,17898.13212,38333.974519999996,39576.18777688357,38353.15683073914,39052.5546875
25,2016-11-27 19:27:52,97.09677419,10220000.0,26.66000032,1026.438741,25.59,29.74500027,284333.5842,17931.967230000002,39327.25488,40393.13278864534,39472.510367800314,38990.9140625
26,2016-11-27 19:32:52,91.77419355,10220000.0,26.53000011,1026.534192,25.47,29.94999981,267199.9136,17750.35299,39193.908639999994,39760.80786179425,39576.63708951685,39697.78515625
27,2016-11-27 19:37:52,95.0,10220000.0,26.61500044,1026.6216060000002,25.435,29.79499969,264727.8915,17477.94165,38910.76678,36236.98141216091,35850.79293264632,35279.31640625
28,2016-11-27 19:42:52,91.93548387,10220000.0,26.68500071,1026.705503,25.505,29.64000044,267146.1541,17408.01924,38672.059539999995,45434.34312326045,43626.83572898717,43824.54296875
29,2016-11-27 19:47:53,95.64516129,10220000.0,26.64500055,1026.718063,25.435,29.67000017,265035.9089,17298.66302,38796.404819999996,40520.3644640391,43172.367663620884,43354.8359375
30,2016-11-27 19:52:53,92.90322581,10220000.0,26.77999954,1026.7728220000001,25.34,29.38499966,254562.5703,16946.23101,38365.28828,42984.05614140077,44620.63009790968,44810.046875
31,2016-11-27 19:57:53,90.48387097,10220000.0,26.85499945,1026.782869,25.315,29.23500013,257163.6957,16654.62703,38195.313160000005,37593.1345800042,40619.8986470544,40703.765625
32,2016-11-27 20:02:53,97.74193548,10220000.0,26.78499994,1026.880833,25.31,29.27999983,261729.9857,16661.69163,38752.99915,40383.78392759571,42321.58710114077,42014.234375
33,2016-11-27 20:07:54,88.38709677,10220000.0,26.80499954,1026.941118,25.315,29.26000013,257434.348,16482.29492,38704.00121,40914.05088826077,40221.360337688486,40175.7109375
34,2016-11-27 20:12:54,94.35483871,10220000.0,26.81999931,1026.959204,25.315,29.17500029,247406.2865,16204.17534,37894.58803,40798.17442164873,39981.5100209058,39815.12890625
35,2016-11-27 20:17:54,89.03225806,10220000.0,26.85499945,1027.004418,25.26,29.05500021,253203.0245,16047.270419999999,37773.55485,33277.12233479583,34963.95398509678,34536.57421875
36,2016-11-27 20:22:55,90.80645161,10220000.0,26.80999956,1027.107908,25.315,29.1000001,252641.0192,15928.347269999998,37777.03847,40193.96873022546,32317.594298197087,33012.76953125
37,2016-11-27 20:27:55,89.51612903,10220000.0,26.82499933,1027.174724,25.26,29.03000011,250949.3678,15872.606909999999,37779.22378,36953.75525423922,36750.64242553622,37354.75390625
38,2016-11-27 20:32:55,92.41935484,8685500.0,26.88499956,1027.24154,25.155,28.97499981,239631.4091,15585.030869999999,37346.68544,36057.326971041126,37008.41030311756,37535.09375
39,2016-11-27 20:37:55,91.93548387,6554250.0,26.85499945,1027.3450300000002,25.245,28.95499983,247360.4236,15384.69354,37900.20935,44099.86445047919,43313.55552040057,43837.00390625
40,2016-11-27 20:42:56,93.06451613,10220000.0,26.77499962,1027.42742,25.205,28.97999992,255882.8977,15572.1296,38083.94113,39229.83723201329,37481.77089838993,36938.82421875
41,2016-11-27 20:47:56,92.09677419,10220000.0,26.84499941,1027.442491,25.145,28.83499966,245520.1534,15495.435969999999,37632.29991,39149.69358580079,37401.12117807337,37335.58984375
42,2016-11-27 20:52:56,94.35483871,10220000.0,26.75999985,1027.538445,25.24,28.95999985,252874.013,15536.84458,37638.46054,37068.28046987453,36429.11447297354,36620.14453125
